id,名称,地址,电话,经度_GCJ02,纬度_GCJ02,经度_WGS84,纬度_WGS84,Center_X,Center_Y,类型代码,类型名称,省份,城市,区域,营业时间,评分
B0FFK66MMO,雪山烤全羊,锦龙路290号(裕全驾校内),13983764668,106.530236,29.486278,,,440886.79060291656,3262017.8442266104,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.4
B0LG47ET8C,李多鱼的院子 (黄桷坪涂鸦街店),黄桷坪任家湾3号库房(涂鸦街尽头),15023958297,106.534018,29.488314,,,441254.605056772,3262241.5238208054,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.5
B0FFI94HP6,华莱士·全鸡汉堡(广厦城店),九龙镇龙广路广厦城巢上2期6号7栋附4号,023-68471594,106.529481,29.491128,,,440816.41726382694,3262555.621474865,050300,餐饮服务;快餐厅;快餐厅,重庆市,重庆市,九龙坡区,,3.9
B0FFFE9GYO,胖哥牛肉面(广厦城店),广厦城6号附36号,15023235636;18223028358,106.531565,29.491402,,,441018.59643471113,3262584.9234624747,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.1
B0IA7Z8HMT,渝厂老火锅(广厦城巢上二期店),九龙镇广厦城6号附57号,023-68658878;18883883178,106.529286,29.490948,,,440797.4095354553,3262535.776144443,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,4.4
B0FFJZPJNB,小黑烧烤(广厦城巢上二期店),九龙镇广厦城6号8栋附13号,15683806320,106.530598,29.490936,,,440924.58650250064,3262533.7798145902,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.1
B0LRDS65CR,蜜雪冰城(广厦城巢上二期店),黄桷坪街道广厦城6号8栋附9号,[],106.530224,29.491057,,,440888.40157247765,3262547.3768597934,050700,餐饮服务;冷饮店;冷饮店,重庆市,重庆市,九龙坡区,,4.0
B0HDNAEHWA,壹柒咖啡,大车队创意豪斯W-2,17623277131,106.535799,29.48776,,,441426.9390882153,3262179.2415119936,050500,餐饮服务;咖啡厅;咖啡厅,重庆市,重庆市,九龙坡区,,3.6
B0G0D62JS5,豆花饭面(龙广路店),广厦城一期6号院西区西南1门旁,[],106.53137,29.491282,,,440999.6238856472,3262571.725966573,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,2.5
B0LB1R2NL3,富阳记坡坡面,黄桷坪街道广厦城6号附65号,15730279634,106.530136,29.491242,,,440879.97837179585,3262567.9200839605,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.7
