cluster_id,X,Y,人口密度,点数量,平均人口密度,推荐点名称,核心点类型
0,442221.3565103725,3262170.934935037,481.29883,24,390.43829374999996,黄桷印象,加权中心
1,443477.9537355958,3262675.0503102066,101.315674,44,62.524413045454544,万科·金域学府,加权中心
2,439164.2785948604,3264988.300191464,284.43237,24,270.14393583333333,保利时代广场,加权中心
3,439345.2267275896,3260335.90145003,25.791449,123,27.610725479674795,拾光广场,加权中心
4,441870.6414801561,3259747.9811826893,66.72234,148,44.95064633783784,东南亚商厦,加权中心
5,438821.0547276238,3263590.1166927502,146.71242,22,140.4413131818182,九龙明珠,加权中心
6,440646.3644607511,3264467.808752975,159.1207,55,148.14431454545456,珠江花园北区,加权中心
7,440118.21339340496,3264503.178764279,63.820816,21,61.09514595238095,港都会KTV(金都香榭店)(暂停营业),加权中心
8,440404.4475494483,3263222.183120297,93.44777,77,82.73904936363637,赵林平诊所,加权中心
9,441800.3624932544,3262666.5161916944,121.207054,80,109.0930232875,恒誉乒乓球俱乐部,加权中心
10,439149.50807490473,3263580.3615919244,79.61806,25,75.723062,新世纪超市(重庆九龙坡印象汇店),加权中心
11,439148.4999782422,3264058.1644015047,108.001434,27,101.95739440740739,福百年老年公寓(信合大厦店),加权中心
12,439645.0115840119,3264772.0809011795,123.65568,59,110.05104420338984,猫猫绘,加权中心
13,439368.6193756925,3264291.334246842,66.16803,20,64.77798014999999,双子星游乐城(暂停营业),加权中心
14,439270.44841436617,3264384.2752249585,89.15314,41,82.9828943902439,谭勇乒乓球俱乐部,加权中心
