id,名称,地址,电话,经度_GCJ02,纬度_GCJ02,经度_WGS84,纬度_WGS84,Center_X,Center_Y,类型代码,类型名称,省份,城市,区域,营业时间,评分,人口密度,cluster_label,cluster_probability
B0HGFK3Q7G,重庆一建建设集团有限公司,广厦城康体公园旁,[],106.529912,29.489704,,,440857.3707632794,3262397.619151847,170000,公司企业;公司企业;公司企业,重庆市,重庆市,九龙坡区,,[],120.130615,8,0.5722786679216488
B0K66COLMC,重庆惠冠粮油有限公司,铁路中学校A区附近,13368393689,106.533961,29.488599,,,441249.2438268545,3262273.131374843,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],94.776505,-1,0.0
B0LKVC5FKJ,忠县伟伟生态农业有限公司,邮电路与转电路交叉口东南380米,[],106.533985,29.488192,,,441251.3356039356,3262228.0225425167,170400,公司企业;农林牧渔基地;其它农林牧渔基地,重庆市,重庆市,九龙坡区,,[],109.00599,-1,0.0
B0L22D01QM,广东华隧建设集团股份有限公司西南办事处,广厦城巢上二期16幢2楼,[],106.529526,29.489752,,,440819.9797602286,3262403.133900417,170202,公司企业;公司;建筑公司,重庆市,重庆市,九龙坡区,,[],120.130615,-1,0.0
B0KDCCBV9S,重庆全将商贸有限公司,锦龙路276号,18126880153,106.528227,29.488469,,,440693.3072921417,3262261.6351089454,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],82.127045,-1,0.0
B0M6RAZHRW,重庆诚博商贸有限公司,锦龙路276号,[],106.527988,29.488287,,,440670.0322693237,3262241.590804788,170207,公司企业;公司;商业贸易,重庆市,重庆市,九龙坡区,,[],81.85411,-1,0.0
B0LDRZBECU,黄桷坪电力,重庆电力高等专科学校-教学楼东南侧200米,[],106.534596,29.4853,,,441308.900176224,3261907.2728468827,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],102.541885,-1,0.0
B0FFGBMKPS,重庆供电段,黄桷坪铁路新村40号,023-61649353,106.534253,29.491243,,,441279.075451551,3262565.946535676,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],130.8474,9,0.8246929925360567
B0J0DNMY3W,虹地图文广告,邮电路与龙广路交叉口北100米,[],106.531945,29.491827,,,441055.6791186321,3262631.822135709,170201|070000,公司企业;公司;广告装饰|生活服务;生活服务场所;生活服务场所,重庆市,重庆市,九龙坡区,,4.0,121.446014,9,0.8246929925360567
B00179BUV4,黄桷坪冻库,黄桷坪电力四村122号,15213735390,106.537898,29.487429,,,441630.23049772426,3262141.511356203,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,4.0,71.88964,-1,0.0
B0FFH90SF8,重庆酉笙农副产品有限公司,铁路新村45号,13996023180,106.536161,29.491772,,,441464.3385079916,3262623.600011236,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],127.3036,9,1.0
B0FFJ3FYM4,重庆执耳科技有限公司,铁路新村45号,[],106.53604,29.491885,,,441452.6739734637,3262636.1815922614,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],127.3036,9,1.0
B0KGV5DCEA,华亚众盟,龙江路与余堡路交叉口北200米,[],106.530022,29.493714,,,440870.36304418335,3262841.882660941,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],132.36418,-1,0.0
B0GKSCLLHW,中铁十一局集团九滨路项目部钢筋加工厂,锦龙路与锦昌路交叉口南480米,[],106.524473,29.485152,,,440327.4457835232,3261896.020884582,170300,公司企业;工厂;工厂,重庆市,重庆市,九龙坡区,,[],115.955956,-1,0.0
